Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,Box_Office_World,MPAA
The Devil's Rejects,107,Horror,Rob Zombie,Rob Zombie; Rob Zombie,Sid Haig; Sheri Moon Zombie; Bill Moseley,53/100,6.8,"54,588","$7,000,000 ","$16,901,126 ","$19,390,029 ",R
A Lot Like Love,107,Comedy; Drama; Romance,Nigel Cole,Colin Patrick Lynch,Ashton Kutcher; Amanda Peet; Taryn Manning,48/100,6.4,"39,459","$30,000,000 ","$21,835,784 ",,PG-13
The Dukes of Hazzard,104,Action; Adventure; Comedy,Jay Chandrasekhar,John O'Brien; John O'Brien,Seann William Scott; Johnny Knoxville; Jessica Simpson,33/100,4.8,"47,395","$50,000,000 ","$80,270,227 ","$110,594,793 ",PG-13
House of Wax,113,Horror; Thriller,Jaume Collet-Serra,Charles Belden; Chad Hayes,Chad Michael Murray; Paris Hilton; Elisha Cuthbert,41/100,5.2,"62,487","$30,000,000 ","$32,048,809 ","$17,000,000 ",R
Brick,110,Drama; Mystery,Rian Johnson,Rian Johnson,Joseph Gordon-Levitt; Lukas Haas; Emilie de Ravin,72/100,7.4,"61,403","$475,000 ","$2,060,589 ",,R
The Brothers Grimm,118,Action; Adventure; Comedy,Terry Gilliam,Ehren Kruger,Matt Damon; Heath Ledger; Monica Bellucci,51/100,5.9,"68,871","$88,000,000 ","$37,916,267 ","$105,316,267 ",PG-13
Down in the Valley,114,Drama; Romance; Thriller,David Jacobson,David Jacobson,Edward Norton; Evan Rachel Wood; David Morse,65/100,6.4,"13,694","$8,000,000 ","$568,695 ",,R
Rent,135,Drama; Musical; Romance,Chris Columbus,Stephen Chbosky; Jonathan Larson,Taye Diggs; Wilson Jermaine Heredia; Rosario Dawson,53/100,6.8,"31,234","$40,000,000 ","$29,077,547 ","$31,670,620 ",PG-13
on Flux,93,Action; Sci-Fi,Karyn Kusama,Phil Hay; Matt Manfredi,Charlize Theron; Frances McDormand; Sophie Okonedo,36/100,5.4,"78,165","$62,000,000 ","$25,857,987 ",,PG-13
The Skeleton Key,104,Drama; Horror; Mystery,Iain Softley,Ehren Kruger,Kate Hudson; Peter Sarsgaard; Joy Bryant,47/100,6.4,"58,876","$43,000,000 ","$47,806,295 ","$45,081,407 ",PG-13
An Unfinished Life,108,Drama,Lasse Hallstrm,Mark Spragg; Virginia Korus Spragg,Jennifer Lopez; Robert Redford; Morgan Freeman,49/100,7,"16,461","$30,000,000 ","$8,535,575 ","$17,995,770 ",PG-13
Just Friends,96,Comedy; Romance,Roger Kumble,Adam 'Tex' Davis,Ryan Reynolds; Amy Smart; Anna Faris,47/100,6.2,"54,125",,"$32,619,671 ","$50,817,508 ",PG-13
Sky High,100,Adventure; Comedy; Family,Mike Mitchell,Paul Hernandez; Robert Schooley,Kurt Russell; Kelly Preston; Michael Angarano,62/100,6.3,"39,993","$35,000,000 ","$63,946,815 ","$86,369,815 ",PG
Red Eye,85,Thriller,Wes Craven,Carl Ellsworth; Carl Ellsworth,Rachel McAdams; Cillian Murphy; Brian Cox,71/100,6.4,"68,116","$25,000,000 ","$57,859,105 ","$37,685,971 ",PG-13
Sahara,124,Action; Adventure; Comedy,Breck Eisner,Clive Cussler; Thomas Dean Donnelly,Matthew McConaughey; Penlope Cruz; Steve Zahn,41/100,5.9,"53,846","$130,000,000 ","$68,642,452 ","$34,500,000 ",PG-13
Lords of Dogtown,107,Biography; Drama; Sport,Catherine Hardwicke,Stacy Peralta,Heath Ledger; Emile Hirsch; Victor Rasuk,56/100,6.9,"29,585","$25,000,000 ","$11,008,432 ",,PG-13
Hustle &amp; Flow,116,Crime; Drama; Music,Craig Brewer,Craig Brewer,Terrence Howard; Ludacris; Anthony Anderson,68/100,7.4,"25,336","$8,000,000 ","$22,201,636 ",,R
Nanny McPhee,97,Comedy; Family; Fantasy,Kirk Jones,Emma Thompson; Christianna Brand,Emma Thompson; Colin Firth; Angela Lansbury,59/100,6.5,"28,657","$25,000,000 ","$47,144,110 ","$122,489,822 ",PG
The Legend of Zorro,129,Action; Adventure; Western,Martin Campbell,Roberto Orci; Alex Kurtzman,Antonio Banderas; Catherine Zeta-Jones; Rufus Sewell,47/100,5.8,"44,141","$75,000,000 ","$45,356,386 ","$74,000,000 ",PG
Stay,99,Drama; Mystery; Thriller,Marc Forster,David Benioff,Ewan McGregor; Naomi Watts; Ryan Gosling,41/100,6.7,"42,652","$50,000,000 ","$3,626,883 ",,R
Doom,100,Action; Adventure; Horror,Andrzej Bartkowiak,Dave Callaham; Wesley Strick,Karl Urban; Rosamund Pike; Dwayne Johnson,34/100,5.1,"63,246","$60,000,000 ","$28,031,250 ","$15,800,000 ",R
The Jacket,103,Drama; Mystery; Sci-Fi,John Maybury,Tom Bleecker; Marc Rocco,Adrien Brody; Keira Knightley; Daniel Craig,44/100,7,"65,122","$29,000,000 ","$6,303,762 ","$13,743,096 ",R
Havoc,85,Crime; Drama,Barbara Kopple,Stephen Gaghan; Jessica Kaplan,Anne Hathaway; Bijou Phillips; Shiri Appleby,,5.4,"12,007","$9,000,000 ",,,R
The Fog,100,Horror,Rupert Wainwright,Cooper Layne; John Carpenter,Tom Welling; Maggie Grace; Selma Blair,27/100,3.5,"22,616","$18,000,000 ","$29,511,112 ",,PG-13
Capote,114,Biography; Crime; Drama,Bennett Miller,Dan Futterman; Gerald Clarke,Philip Seymour Hoffman; Clifton Collins Jr.; Catherine Keener,88/100,7.4,"62,571","$7,000,000 ","$28,747,570 ",,R
Hostage,113,Crime; Drama; Mystery,Florent-Emilio Siri,Robert Crais; Doug Richardson,Bruce Willis; Kevin Pollak; Serena Scott Thomas,44/100,6.6,"68,832","$52,000,000 ","$34,636,443 ",,R
Flightplan,98,Drama; Mystery; Thriller,Robert Schwentke,Peter A. Dowling; Billy Ray,Jodie Foster; Peter Sarsgaard; Sean Bean,53/100,6.1,"86,157","$55,000,000 ","$89,706,988 ","$133,680,000 ",PG-13
"Good Night, and Good Luck.",93,Drama; History,George Clooney,George Clooney; Grant Heslov,David Strathairn; George Clooney; Patricia Clarkson,80/100,7.6,"64,908","$7,500,000 ","$31,501,218 ",,PG
Cheaper by the Dozen 2,94,Adventure; Comedy; Family,Adam Shankman,Sam Harper; Craig Titley,Steve Martin; Bonnie Hunt; Hilary Duff,34/100,5.2,"25,159",,"$82,569,532 ",,PG
Be Cool,118,Comedy; Crime,F. Gary Gray,Elmore Leonard; Peter Steinfeld,John Travolta; Uma Thurman; Dwayne Johnson,37/100,5.6,"46,553","$53,000,000 ","$55,808,744 ",,PG-13
Land of the Dead,93,Horror; Sci-Fi,George A. Romero,George A. Romero,John Leguizamo; Asia Argento; Simon Baker,71/100,6.3,"59,511","$15,000,000 ","$20,700,082 ","$26,070,520 ",R
Stealth,121,Action; Adventure; Sci-Fi,Rob Cohen,W.D. Richter,Josh Lucas; Jessica Biel; Jamie Foxx,35/100,4.9,"34,724","$135,000,000 ","$31,704,416 ","$10,500,000 ",PG-13
Hide and Seek,101,Horror; Mystery; Thriller,John Polson,Ari Schlossberg,Robert De Niro; Dakota Fanning; Famke Janssen,35/100,5.7,"51,017","$25,000,000 ","$51,100,486 ","$122,650,962 ",R
The Wedding Date,90,Comedy; Romance,Clare Kilner,Elizabeth Young; Dana Fox,Dermot Mulroney; Debra Messing; Jack Davenport,32/100,5.8,"22,924","$15,000,000 ","$31,726,995 ","$47,175,038 ",PG-13
The Pacifier,95,Action; Comedy; Drama,Adam Shankman,Thomas Lennon; Robert Ben Garant,Vin Diesel; Brittany Snow; Max Thieriot,30/100,5.3,"39,670","$56,000,000 ","$113,006,880 ","$73,000,000 ",PG
Domino,127,Action; Biography; Crime,Tony Scott,Richard Kelly; Richard Kelly,Keira Knightley; Mickey Rourke; dgar Ramrez,36/100,5.9,"45,023","$50,000,000 ","$10,169,202 ","$10,236,239 ",R
Fever Pitch,104,Comedy; Drama; Romance,Bobby Farrelly,Lowell Ganz; Babaloo Mandel,Drew Barrymore; Jimmy Fallon; Jason Spevack,56/100,6.1,"25,882","$30,000,000 ","$42,071,069 ",,PG-13
Junebug,106,Comedy; Drama,Phil Morrison,Angus MacLachlan,Embeth Davidtz; Alessandro Nivola; David Kuhn,80/100,7,"14,955","$1,000,000 ","$2,678,691 ","$3,399,228 ",R
Imagine Me &amp; You,94,Comedy; Drama; Romance,Ol Parker,Ol Parker,Piper Perabo; Lena Headey; Matthew Goode,49/100,6.7,"15,001",,"$671,240 ",,R
Harsh Times,116,Crime; Drama; Thriller,David Ayer,David Ayer,Christian Bale; Eva Longoria; Freddy Rodrguez,56/100,6.9,"38,565","$2,000,000 ","$3,337,931 ","$5,967,038 ",R
Just Like Heaven,95,Comedy; Fantasy; Romance,Mark Waters,Peter Tolan; Leslie Dixon,Reese Witherspoon; Mark Ruffalo; Donal Logue,47/100,6.7,"54,796","$58,000,000 ","$48,318,130 ","$50,758,439 ",PG-13
The Interpreter,128,Mystery; Thriller,Sydney Pollack,Martin Stellman; Brian Ward,Nicole Kidman; Sean Penn; Catherine Keener,62/100,6.4,"65,178","$80,000,000 ","$72,515,360 ","$162,944,923 ",PG-13
The Departed,151,Crime; Thriller,Martin Scorsese,William Monahan; Alan Mak,Leonardo DiCaprio; Matt Damon; Jack Nicholson,86/100,8.5,"479,220","$90,000,000 ","$132,384,315 ","$289,847,354 ",R
Casino Royale,144,Action; Crime; Thriller,Martin Campbell,Neal Purvis; Robert Wade,Daniel Craig; Eva Green; Judi Dench,81/100,7.9,"293,266","$150,000,000 ","$167,445,960 ","$594,239,066 ",PG-13
300,117,Action; Fantasy; History,Zack Snyder,Zack Snyder; Kurt Johnstad,Gerard Butler; Lena Headey; David Wenham,51/100,7.7,"383,874","$65,000,000 ","$210,614,939 ","$456,068,181 ",R
The Prestige,130,Drama; Mystery; Thriller,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Hugh Jackman; Scarlett Johansson,66/100,8.5,"433,306","$40,000,000 ","$53,089,891 ","$109,676,311 ",PG-13
Pirates of the Caribbean: Dead Man's Chest,151,Action; Adventure; Fantasy,Gore Verbinski,Ted Elliott; Terry Rossio,Johnny Depp; Orlando Bloom; Keira Knightley,53/100,7.3,"304,154","$225,000,000 ","$423,315,812 ","$1,066,179,725 ",PG-13
The Fast and the Furious: Tokyo Drift,104,Action; Crime; Drama,Justin Lin,Chris Morgan,Lucas Black; Zachery Ty Bryan; Bow Wow,46/100,5.7,"83,611","$85,000,000 ","$62,514,415 ","$158,468,292 ",PG-13
X-Men: The Last Stand,104,Action; Adventure; Sci-Fi,Brett Ratner,Simon Kinberg; Zak Penn,Patrick Stewart; Hugh Jackman; Halle Berry,58/100,6.8,"212,968","$210,000,000 ","$234,360,014 ",,PG-13
Cars,117,Animation; Adventure; Comedy,John Lasseter,John Lasseter; Joe Ranft,Owen Wilson; Bonnie Hunt; Paul Newman,73/100,7.3,"136,439","$120,000,000 ","$244,052,771 ","$217,898,144 ",G
El laberinto del fauno,118,Drama; Fantasy; War,Guillermo del Toro,Guillermo del Toro,Ivana Baquero; Ariadna Gil; Sergi Lpez,98/100,8.3,"278,549","&#8364;13,500,000","$37,623,143 ",,R
Apocalypto,139,Adventure; Drama,Mel Gibson,Mel Gibson; Farhad Safinia,Gerardo Taracena; Raoul Trujillo; Dalia Hernndez,68/100,7.8,"162,132","$40,000,000 ","$50,859,889 ",,R
The Lives of Others,137,Drama; Thriller,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mhe; Martina Gedeck; Sebastian Koch,89/100,8.5,"147,939","$2,000,000 ","$11,286,112 ","$77,356,819 ",R
The Pursuit of Happyness,117,Biography; Drama,Gabriele Muccino,Steve Conrad,Will Smith; Thandie Newton; Jaden Smith,64/100,7.8,"191,454","$55,000,000 ","$163,566,459 ","$304,850,102 ",PG-13
Blood Diamond,143,Adventure; Drama; Thriller,Edward Zwick,Charles Leavitt; Charles Leavitt,Leonardo DiCaprio; Djimon Hounsou; Jennifer Connelly,64/100,8,"235,268","$100,000,000 ","$57,312,489 ","$171,407,179 ",R
The Devil Wears Prada,109,Comedy; Drama; Romance,David Frankel,Aline Brosh McKenna; Lauren Weisberger,Anne Hathaway; Meryl Streep; Adrian Grenier,62/100,6.7,"161,266","$35,000,000 ","$124,732,962 ",,PG-13
Silent Hill,125,Adventure; Horror,Christophe Gans,Roger Avary,Radha Mitchell; Laurie Holden; Sean Bean,30/100,6.5,"114,272","$50,000,000 ","$46,982,632 ","$50,624,821 ",R
Grandma's Boy,94,Comedy,Nicholaus Goossen,Barry Wernick; Allen Covert,Allen Covert; Linda Cardellini; Shirley Jones,33/100,6.9,"48,856",,"$6,088,249 ",,R
Lucky Number Slevin,110,Crime; Drama; Mystery,Paul McGuigan,Jason Smilovic,Josh Hartnett; Ben Kingsley; Morgan Freeman,53/100,7.7,"177,246",,"$22,494,487 ",,R
Inside Man,129,Crime; Drama; Thriller,Spike Lee,Russell Gewirtz,Denzel Washington; Clive Owen; Jodie Foster,76/100,7.7,"175,548","$45,000,000 ","$88,504,640 ",,R
The Illusionist,110,Drama; Mystery; Romance,Neil Burger,Neil Burger; Steven Millhauser,Edward Norton; Jessica Biel; Paul Giamatti,68/100,7.6,"185,492","$16,000,000 ","$39,825,798 ","$44,407,533 ",PG-13
Children of Men,109,Adventure; Drama; Sci-Fi,Alfonso Cuarn,Alfonso Cuarn; Timothy J. Sexton,Julianne Moore; Clive Owen; Chiwetel Ejiofor,84/100,7.9,"251,730","$76,000,000 ","$35,286,428 ","$68,327,768 ",R
Stranger Than Fiction,113,Comedy; Drama; Fantasy,Marc Forster,Zach Helm,Will Ferrell; Emma Thompson; Dustin Hoffman,67/100,7.7,"131,917","$38,000,000 ","$40,137,776 ",,PG-13
Little Miss Sunshine,101,Adventure; Comedy; Drama,Jonathan Dayton,Michael Arndt,Steve Carell; Toni Collette; Greg Kinnear,80/100,7.9,"237,547","$8,000,000 ","$59,887,868 ","$100,221,296 ",R
Superman Returns,154,Action; Adventure; Fantasy,Bryan Singer,Michael Dougherty; Dan Harris,Brandon Routh; Kevin Spacey; Kate Bosworth,72/100,6.3,"169,032","$209,000,000 ","$200,069,408 ","$191,000,000 ",PG-13
Crank,88,Action; Crime; Thriller,Mark Neveldine,Mark Neveldine; Brian Taylor,Jason Statham; Amy Smart; Carlos Sanz,57/100,7,"131,335","$12,000,000 ","$27,829,874 ",,R
Mission: Impossible III,126,Action; Adventure; Thriller,J.J. Abrams,Alex Kurtzman; Roberto Orci,Tom Cruise; Michelle Monaghan; Ving Rhames,66/100,6.8,"152,362","$150,000,000 ","$134,029,801 ","$262,166,791 ",PG-13
The Da Vinci Code,149,Mystery; Thriller,Ron Howard,Akiva Goldsman; Dan Brown,Tom Hanks; Audrey Tautou; Jean Reno,46/100,6.4,"198,769","$125,000,000 ","$217,536,138 ","$758,239,851 ",PG-13
Alpha Dog,122,Biography; Crime; Drama,Nick Cassavetes,Nick Cassavetes,Emile Hirsch; Justin Timberlake; Anton Yelchin,53/100,6.8,"65,311",,"$15,229,325 ",,R
She's the Man,105,Comedy; Romance,Andy Fickman,Ewan Leslie; Karen McCullah Lutz,Amanda Bynes; Laura Ramsey; Channing Tatum,45/100,6.3,"62,699","$20,000,000 ","$33,741,133 ","$57,194,667 ",PG-13
Talladega Nights: The Ballad of Ricky Bobby,108,Action; Comedy; Sport,Adam McKay,Will Ferrell; Adam McKay,Will Ferrell; John C. Reilly; Sacha Baron Cohen,66/100,6.4,"81,848","$73,000,000 ","$148,213,377 ",,PG-13
Babel,143,Drama,Alejandro Gonzlez Irritu,Guillermo Arriaga; Guillermo Arriaga,Brad Pitt; Cate Blanchett; Gael Garca Bernal,69/100,7.5,"170,807","$25,000,000 ","$34,287,296 ","$132,700,000 ",R
The Fountain,96,Drama; Romance; Sci-Fi,Darren Aronofsky,Darren Aronofsky; Darren Aronofsky,Hugh Jackman; Rachel Weisz; Sean Patrick Thomas,51/100,7.3,"130,733","$35,000,000 ","$10,144,010 ",,PG-13
Stick It,103,Comedy; Drama; Sport,Jessica Bendinger,Jessica Bendinger,Missy Peregrym; Jeff Bridges; Vanessa Lengies,53/100,6.1,"15,104",,"$26,870,825 ",,PG-13
Night at the Museum,108,Action; Adventure; Comedy,Shawn Levy,Robert Ben Garant; Thomas Lennon,Ben Stiller; Carla Gugino; Ricky Gervais,48/100,6.3,"131,786","$110,000,000 ","$250,863,268 ","$574,480,841 ",PG
The Guardian,139,Action; Adventure; Drama,Andrew Davis,Ron L. Brinkerhoff,Kevin Costner; Ashton Kutcher; Sela Ward,53/100,6.7,"51,216","$70,000,000 ","$54,983,983 ",,PG-13
Perfume: The Story of a Murderer,147,Drama; Fantasy,Tom Tykwer,Andrew Birkin; Bernd Eichinger,Ben Whishaw; Dustin Hoffman; Alan Rickman,56/100,7.5,"120,073","&#8364;50,000,000","$2,208,939 ","$129,957,030 ",R
Eragon,104,Action; Adventure; Family,Stefen Fangmeier,Peter Buchman; Christopher Paolini,Ed Speleers; Sienna Guillory; Jeremy Irons,38/100,5,"72,540","$100,000,000 ","$75,021,527 ","$174,400,164 ",PG
Click,107,Comedy; Drama; Fantasy,Frank Coraci,Steve Koren; Mark O'Keefe,Adam Sandler; Kate Beckinsale; Christopher Walken,45/100,6.4,"150,936","$70,000,000 ","$137,340,146 ",,PG-13
Step Up,104,Crime; Drama; Music,Anne Fletcher,Duane Adler; Melissa Rosenberg,Channing Tatum; Jenna Dewan-Tatum; Damaine Radcliff,48/100,6.2,"50,314","$12,000,000 ","$65,328,121 ","$114,194,847 ",PG-13
Accepted,93,Comedy,Steve Pink,Adam Cooper; Bill Collage,Justin Long; Jonah Hill; Blake Lively,47/100,6.4,"69,709","$23,000,000 ","$36,300,285 ",,PG-13
Idiocracy,84,Adventure; Comedy; Sci-Fi,Mike Judge,Mike Judge; Mike Judge,Luke Wilson; Maya Rudolph; Dax Shepard,64/100,6.4,"67,781",,"$438,653 ",,R
The Holiday,138,Comedy; Romance,Nancy Meyers,Nancy Meyers,Kate Winslet; Cameron Diaz; Jude Law,52/100,6.8,"109,381","$85,000,000 ","$63,224,849 ","$205,135,324 ",PG-13
Dreamgirls,130,Drama; Music; Musical,Bill Condon,Bill Condon; Tom Eyen,Beyonc Knowles; Jamie Foxx; Eddie Murphy,76/100,6.5,"39,341","$70,000,000 ","$103,063,211 ",,PG-13
Little Children,137,Drama,Todd Field,Todd Field; Tom Perrotta,Kate Winslet; Jennifer Connelly; Patrick Wilson,75/100,7.7,"66,972","$14,000,000 ","$5,459,824 ","$14,821,658 ",R
Smokin' Aces,108,Action; Crime; Drama,Joe Carnahan,Joe Carnahan,Jeremy Piven; Ryan Reynolds; Ray Liotta,45/100,6.6,"92,460","$17,000,000 ","$35,662,731 ","$53,960,137 ",R
Clerks II,97,Comedy,Kevin Smith,Kevin Smith,Brian O'Halloran; Jeff Anderson; Rosario Dawson,65/100,7.4,"86,596","$5,000,000 ","$24,138,847 ",,R
Deja Vu,126,Action; Sci-Fi; Thriller,Tony Scott,Bill Marsilii; Terry Rossio,Denzel Washington; Paula Patton; Jim Caviezel,59/100,7,"150,984","$75,000,000 ","$64,038,616 ","$180,557,550 ",PG-13
Underworld: Evolution,106,Action; Fantasy; Sci-Fi,Len Wiseman,Danny McBride; Len Wiseman,Kate Beckinsale; Scott Speedman; Bill Nighy,36/100,6.7,"101,578","$50,000,000 ","$62,318,875 ",,R
Quiet Flows the Don,180,Drama,Sergey Bondarchuk,Mikhail Sholokhov; Sergey Bondarchuk,Rupert Everett; Delphine Forest; F. Murray Abraham,,4.9,215,"$20,000,000 ",,,
Invincible,105,Biography; Drama; Sport,Ericson Core,Brad Gann,Mark Wahlberg; Greg Kinnear; Elizabeth Banks,63/100,7,"30,050",,"$57,789,574 ",,PG
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84,Comedy,Larry Charles,Sacha Baron Cohen; Anthony Hines,Sacha Baron Cohen; Ken Davitian; Luenell,89/100,7.3,"209,838","$18,000,000 ","$128,505,958 ","$261,572,744 ",R
Happy Feet,108,Animation; Comedy; Family,George Miller,Warren Coleman; John Collee,Elijah Wood; Brittany Murphy; Hugh Jackman,77/100,6.5,"81,734","$100,000,000 ","$198,000,317 ","$384,335,608 ",PG
Cashback,102,Comedy; Drama; Romance,Sean Ellis,Sean Ellis,Sean Biggerstaff; Emilia Fox; Michelle Ryan,54/100,7.3,"48,346",,"$24,942 ","$3,279,495 ",R
Scary Movie 4,83,Comedy,David Zucker,Craig Mazin; Jim Abrahams,Anna Faris; Regina Hall; Craig Bierko,40/100,5,"64,582","$45,000,000 ","$90,710,620 ","$178,262,620 ",PG-13
Aquamarine,104,Comedy; Family; Fantasy,Elizabeth Allen,John Quaintance; Jessica Bendinger,Emma Roberts; Joanna 'JoJo' Levesque; Sara Paxton,51/100,4.8,"17,926","$12,000,000 ","$18,595,716 ",,PG
The Hills Have Eyes,107,Horror; Thriller,Alexandre Aja,Alexandre Aja; Grgory Levasseur,Ted Levine; Kathleen Quinlan; Dan Byrd,52/100,6.4,"84,081","$15,000,000 ","$41,777,564 ","$69,570,032 ",R
Ice Age: The Meltdown,91,Animation; Action; Adventure,Carlos Saldanha,Gerry Swallow; Peter Gaulke,Ray Romano; John Leguizamo; Denis Leary,58/100,6.8,"108,290","$80,000,000 ","$195,329,763 ",,PG
Over the Hedge,83,Animation; Adventure; Comedy,Tim Johnson,Len Blum; Lorne Cameron,Bruce Willis; Garry Shandling; Steve Carell,67/100,6.8,"80,659",,"$155,019,340 ","$336,002,996 ",PG
John Tucker Must Die,89,Comedy; Romance,Betty Thomas,Jeff Lowell,Jesse Metcalfe; Ashanti; Arielle Kebbel,41/100,5.6,"39,866","$18,000,000 ","$41,011,711 ","$68,824,526 ",PG-13
Once,85,Drama; Music; Romance,John Carney,John Carney,Glen Hansard; Markta Irglov; Hugh Walsh,88/100,7.9,"57,201","&#8364;180,000","$9,437,933 ",,R
Rocky Balboa,102,Drama; Sport,Sylvester Stallone,Sylvester Stallone; Sylvester Stallone,Sylvester Stallone; Antonio Tarver; Milo Ventimiglia,63/100,7.2,"104,763","$24,000,000 ","$70,261,813 ","$128,926,766 ",PG
The Fall,117,Adventure; Drama; Fantasy,Tarsem Singh,Dan Gilroy; Nico Soultanakis,Lee Pace; Catinca Untaru; Justine Waddell,64/100,7.8,"57,825",,"$2,280,348 ",,R
LiTTLEMAN,98,Comedy; Crime,Keenen Ivory Wayans,Keenen Ivory Wayans; Shawn Wayans,Shawn Wayans; Marlon Wayans; Kerry Washington,26/100,3.8,"27,541","$64,000,000 ","$58,255,287 ","$101,595,121 ",PG-13
This Is England,101,Crime; Drama,Shane Meadows,Shane Meadows,Thomas Turgoose; Stephen Graham; Jo Hartley,86/100,7.7,"65,547","&#163;1,500,000","$327,919 ",,
The Good Shepherd,167,Drama; History; Thriller,Robert De Niro,Eric Roth,Matt Damon; Angelina Jolie; Robert De Niro,61/100,6.7,"69,144","$90,000,000 ","$59,901,040 ",,R
Monster House,91,Animation; Comedy; Family,Gil Kenan,Dan Harmon; Rob Schrab,Mitchel Musso; Sam Lerner; Spencer Locke,68/100,6.7,"41,675","$75,000,000 ","$73,661,010 ","$140,175,006 ",PG
DOA: Dead or Alive,87,Action; Adventure,Corey Yuen,J.F. Lawton; Adam Gross,Jaime Pressly; Devon Aoki; Sarah Carter,38/100,4.7,"29,255","$21,000,000 ","$480,314 ",,PG-13
Open Season,83,Animation; Adventure; Comedy,Roger Allers,Steve Bencich; Ron J. Friedman,Ashton Kutcher; Martin Lawrence; Debra Messing,49/100,6.1,"38,188","$85,000,000 ","$84,303,558 ",,PG
The Last King of Scotland,123,Biography; Drama; History,Kevin Macdonald,Peter Morgan; Jeremy Brock,James McAvoy; Forest Whitaker; Gillian Anderson,74/100,7.7,"98,951","&#163;5,000,000","$17,605,861 ",,R
Running Scared,122,Action; Crime; Drama,Wayne Kramer,Wayne Kramer,Paul Walker; Cameron Bright; Chazz Palminteri,41/100,7.4,"66,276","$17,000,000 ","$6,855,137 ",,R
Half Nelson,106,Drama,Ryan Fleck,Ryan Fleck; Anna Boden,Ryan Gosling; Anthony Mackie; Shareeka Epps,85/100,7.3,"47,439","$700,000 ","$2,694,973 ",,R
Nacho Libre,92,Comedy; Family; Sport,Jared Hess,Jared Hess; Jerusha Hess,Jack Black; Ana de la Reguera; Hctor Jimnez,52/100,5.6,"47,368","$32,000,000 ","$80,197,993 ",,PG
Black Snake Moan,116,Drama,Craig Brewer,Craig Brewer,Christina Ricci; Samuel L. Jackson; Justin Timberlake,52/100,7,"40,041","$15,000,000 ","$9,396,870 ","$10,903,846 ",R
Flags of Our Fathers,132,Drama; History; War,Clint Eastwood,William Broyles Jr.; Paul Haggis,Ryan Phillippe; Barry Pepper; Joseph Cross,79/100,7.1,"71,743","$53,000,000 ","$33,574,332 ","$32,297,873 ",R
In the Name of the King: A Dungeon Siege Tale,127,Action; Adventure; Drama,Uwe Boll,Doug Taylor; Jason Rappaport,Jason Statham; Ron Perlman; Ray Liotta,15/100,3.8,"30,994","$60,000,000 ","$4,535,117 ",,PG-13
The Painted Veil,125,Drama; Romance,John Curran,Ron Nyswaner; W. Somerset Maugham,Naomi Watts; Edward Norton; Liev Schreiber,69/100,7.5,"52,538","$19,400,000 ","$8,060,487 ","$26,522,838 ",PG-13
The Lake House,99,Drama; Fantasy; Romance,Alejandro Agresti,David Auburn; Eun-Jeong Kim,Keanu Reeves; Sandra Bullock; Christopher Plummer,52/100,6.7,"75,301","$40,000,000 ","$52,320,979 ","$114,830,111 ",PG
Marie Antoinette,123,Biography; Drama; History,Sofia Coppola,Sofia Coppola,Kirsten Dunst; Jason Schwartzman; Rip Torn,65/100,6.3,"53,489","$40,000,000 ","$15,962,471 ","$60,862,471 ",PG-13
It's a Boy Girl Thing,95,Comedy; Fantasy; Romance,Nick Hurran,Geoff Deane,Samaire Armstrong; Kevin Zegers; Sherry Miller,,6.2,"18,580","$15,500,000 ",,,PG-13
A Scanner Darkly,100,Animation; Crime; Drama,Richard Linklater,Philip K. Dick; Richard Linklater,Keanu Reeves; Winona Ryder; Robert Downey Jr.,73/100,7,"63,997","$8,500,000 ","$5,501,616 ","$7,659,918 ",R
Glory Road,118,Comedy; Drama; Sport,James Gartner,Chris Cleveland; Bettina Gilois,Josh Lucas; Derek Luke; Austin Nichols,58/100,7,"21,241",,"$42,643,187 ",,PG
"Paris, je t'aime",120,Comedy; Drama; Romance,Olivier Assayas,Emmanuel Benbihy; Bruno Podalyds,Juliette Binoche; Leonor Watling; Ludivine Sagnier,66/100,7.3,"46,398","$13,000,000 ","$4,857,376 ",,R
Rescue Dawn,126,Adventure; Biography; Drama,Werner Herzog,Werner Herzog,Christian Bale; Steve Zahn; Jeremy Davies,77/100,7.4,"59,367","$10,000,000 ","$5,490,423 ","$7,177,143 ",PG-13
Letters from Iwo Jima,141,Drama; History; War,Clint Eastwood,Iris Yamashita; Iris Yamashita,Ken Watanabe; Kazunari Ninomiya; Tsuyoshi Ihara,89/100,8,"97,738","$19,000,000 ","$13,753,931 ","$54,917,146 ",R
Failure to Launch,97,Comedy; Romance,Tom Dey,Tom J. Astle; Matt Ember,Matthew McConaughey; Sarah Jessica Parker; Kathy Bates,47/100,5.5,"37,520","$50,000,000 ","$88,715,192 ","$128,406,887 ",PG-13
Flushed Away,85,Animation; Adventure; Comedy,David Bowers,Dick Clement; Ian La Frenais,Hugh Jackman; Kate Winslet; Ian McKellen,74/100,6.8,"50,752","$149,000,000 ","$64,459,316 ",,PG
